Skills,Category
Cybil,Language
Cyclone,Language
Draco,Language
ELAN,Language
Elixir,Language
Erlang,Language
Etoys,Language
F Sharp,Language
F-Script,Language
F#,Language
Fantom,Language
Flask,Language
Forsythe,Language
Forth,Language
Fortran,Language
Genshi,Language
Gofer,Language
Golo,Language
Gosu,Language
Gremlin,Language
Halide,Language
Haskell,Language
Hermes,Language
HTML,Language
Hume,Language
Idris,Language
J Query,Language
JADE,Language
Janus,Language
Java Script,Language
Javascript,Language
Jolie,Language
JRT,Language
Julia,Language
Kojo,Language
Kotlin,Language
Limbo,Language
LINGO,Language
Lisp,Language
Little b,Language
LPC,Language
Matlab,Language
Mirah,Language
MOO,Language
MySQL,Language
Newspeak,Language
Oberon,Language
Orwell,Language
ParaSail,Language
Perl,Language
PowerHouse,Language
Pyrex,Language
Python,Language
Qalb,Language
Qore,Language
Regular Expressions,Language
Rinda,Language
Ruby,Language
SA-C,Language
Sass,Language
Smalltalk,Language
Snap!,Language
Snowball,Language
SQLAlchemy,Language
sqlite,Language
Squirrel,Language
Swift,Language
Tritium,Language
Uniface,Language
Vala,Language
Visual Studio .NET,Language
XHTML,Language
XML,Language
XOD,Language
XSLT,Language
Oracle,"Language, Data science"
Scala,"Language,Data science"
Spark,"Language,Data science"
Structural Query Language,"Language,Data science"
.Net,"Language,Foundations"
C#,"Language,Foundations"
C++,"Language,Foundations"
C/C++,"Language,Foundations"
J2EE,"Language,Foundations"
Java,"Language,Foundations"
SQL,"Language,Foundations,Data science"
PHP,"Language,IT"
Alioth,System
Android,System
Bash,System
Copland,System
Denali,System
Dyson,System
Firewall,System
Gather-scatter,System
GEOS,System
Hierarchical File System,System
Homebrew,System
iOS,System
iPhone,System
Linux,System
Litmus,System
Load balancing,System
Mobile technology,System
Path analysis,System
PRODIGAL,System
Red Storm,System
SDK,System
Solaris,System
UI/UX,System
Unix,System
Winner-take-all,System
ZFS,System
Activiti,Tool
Akka,Tool
Anki,Tool
Ansible,Tool
Archi,Tool
Argus,Tool
Ariadne,Tool
Artemis,Tool
Augur,Tool
Axess,Tool
Bamboo,Tool
Bionic,Tool
Bitbucket Server,Tool
Blacklight,Tool
Blitz,Tool
Blue Pill,Tool
BOSH,Tool
Breezy,Tool
Cacti,Tool
Cain and Abel,Tool
Capistrano,Tool
Capsa,Tool
Capybara,Tool
Ceph,Tool
Cobbler,Tool
COLT,Tool
Computer Telephony Integration,Tool
Cucumber,Tool
Dalvik,Tool
Diaspora,Tool
Docker,Tool
Eclipse,Tool
EclipseIDE,Tool
ECOCITIES,Tool
Enyo,Tool
Ettercap,Tool
Exergy,Tool
EyeBeam,Tool
Finisar,Tool
Firebug,Tool
FishEye,Tool
Fjorm,Tool
Flyway,Tool
Foreman,Tool
Ganglia,Tool
Gatling,Tool
Git,Tool
GIWS,Tool
Gnash,Tool
Gyroscope,Tool
H2O,Tool
Hamlets,Tool
HP Open Extensibility Platform,Tool
Hudson,Tool
HyperSpace,Tool
ICAD,Tool
Infini,Tool
Infragistics,Tool
Jasmin,Tool
Jekyll,Tool
Jenkins,Tool
Jira,Tool
Jive,Tool
JQT,Tool
Kallithea,Tool
Karbon,Tool
Kismet,Tool
Kofax,Tool
Kopano,Tool
Leaflet,Tool
Li3,Tool
Madoka,Tool
MagLev,Tool
Mastodon,Tool
Maximo,Tool
Meson,Tool
Metis,Tool
Microsoft Project,Tool
Microsoft Visual Studio,Tool
Midgard,Tool
Miro,Tool
Mnemosyne,Tool
Moai,Tool
Morphic,Tool
MS Project,Tool
Mulgara,Tool
Mycroft,Tool
Nagios,Tool
ND4J,Tool
NEPOMUK,Tool
Nessus,Tool
Netty,Tool
Nokogiri,Tool
Obidos,Tool
Octopussy,Tool
Onyx,Tool
OOAD,Tool
Openview,Tool
Pantheon,Tool
Patchwork,Tool
Pisg,Tool
Pixie,Tool
Plone,Tool
Pluma,Tool
Primavera,Tool
Project Grizzly,Tool
Project Shoal,Tool
Quod Libet,Tool
RANCID,Tool
Ranger,Tool
Rietveld,Tool
Sahi,Tool
Saros,Tool
SAS,Tool
Seavus Project Viewer,Tool
Selenium,Tool
Shinken,Tool
Shumway,Tool
Sinatra,Tool
Slash,Tool
Snoop,Tool
Spacewalk,Tool
Sphinx,Tool
Sprog,Tool
Spyce,Tool
System Design,Tool
Taiga,Tool
Theano,Tool
Tiller Systems,Tool
TOPAS,Tool
TPT,Tool
Tulip,Tool
Turbo,Tool
Tuxedo,Tool
UML,Tool
Vertebra,Tool
Virgo,Tool
Visone,Tool
VIVO,Tool
Wabi,Tool
Wagtail,Tool
Wakanda,Tool
Wilma,Tool
Wireshark,Tool
Wubi,Tool
Yeoman,Tool
Zarafa,Tool
Zeitgeist,Tool
ZMap,Tool
JumpStart,"Tool, System"
Logical Volume Manager,"Tool, System"
Content Management Systems (CMS),Tool
redshift,Cloud
Azure,Cloud
Snowflake,Cloud
relational database,database
MS PowerBI,visualization
Cognos,visualization
Tableau,visualization
pytorch,data science
tensorflow,data science
computer vision,data science
artificial intelligence,data science
opencv,data science
scikit learn,data science
scikit-learn,data science
deep learning,data science
CNN,data science
GAN,data science
auto-encoder,data science
auto encoder,data science
image processing,data science
image recognition,data science
terraform,data science
kubernetes,data science
cuda,IT
caffe,data science
mxnet,data science
nodejs,language
react,language
webpack,tool
machine learning,data science
postgresql,language
d3.js,visualization
google cloud platform,cloud
kafka,cloud
